1.Bialystok,2.Bydgoszcz,3.Gdansk,4.Gorzow Wielkopolski,5.Katowice,6.Kielce,7.Krakow,8.Lublin,9.Lodz,10.Olsztyn,11.Opole,12.Poznan,13.Rzeszow,14.Szczecin,15.Torun,16.Warszawa,17.Wroclaw,18.Zielona Gora
0,412,392,656,491,374,490,249,327,228,528,501,414,753,357,201,538,644
412,0,167,211,406,355,431,458,223,211,415,140,509,258,46,304,282,283
392,167,0,330,529,469,607,512,324,167,538,305,624,364,170,356,455,439
656,211,330,0,468,516,545,637,371,439,371,137,670,104,263,464,272,112
491,406,529,468,0,159,81,349,203,472,109,376,246,567,362,294,191,361
374,355,469,516,159,0,118,184,152,387,227,362,155,618,311,177,339,505
490,431,607,545,81,118,0,307,231,503,189,456,168,647,397,293,272,441
249,458,512,637,349,184,307,0,278,387,409,466,162,741,385,178,465,629
327,223,324,371,203,152,231,278,0,294,191,205,302,461,183,140,216,348
228,211,167,439,472,387,503,387,294,0,492,341,527,492,169,214,455,485
528,415,538,371,109,227,189,409,191,492,0,250,355,474,334,312,98,268
501,140,305,137,376,362,456,466,205,341,250,0,517,238,162,311,173,135
414,509,624,670,246,155,168,162,302,527,355,517,0,772,466,317,437,607
753,258,364,104,567,618,647,741,461,492,474,238,772,0,311,566,391,212
357,46,170,263,362,311,397,385,183,169,334,162,466,311,0,211,341,436
201,304,356,464,294,177,293,178,140,214,312,311,317,566,211,0,348,454
538,282,455,272,191,339,272,465,216,455,98,173,437,391,341,348,0,184
644,283,439,112,361,505,441,629,348,485,268,135,607,212,436,454,184,0
